encuesta,periodo_original,anio_fiscal,mes_fiscal,nombre_indicador,total_nacional,total_urbana,total_rural
ENEMDU,jun-14,2014,6,Subempleo por insuficiencia de tiempo de trabajo,670964,408279,262685
ENEMDU,jun-18,2018,6,Otro Empleo no pleno,2116670,1208742,907928
ENEMDU,jun-18,2018,6,Empleo no clasificado,43325,37648,5677
ENEMDU,jun-18,2018,6,Desempleo,330097,275783,54314
ENEMDU,jun-18,2018,6,Desempleo Abierto,286484,251307,35177
ENEMDU,jun-18,2018,6,Desempleo Oculto,43613,24476,19137
ENEMDU,jun-18,2018,6,Desempleo Cesante,239154,199188,39967
ENEMDU,jun-18,2018,6,Desempleo Nuevo,90943,76595,14348
ENEMDU,jun-10,2010,6,Desempleo,408318,338652,69666
ENEMDU,jun-10,2010,6,Desempleo Abierto,295709,258837,36872
ENEMDU,jun-10,2010,6,Desempleo Oculto,112610,79815,32794
ENEMDU,jun-10,2010,6,Desempleo Cesante,253325,215747,37578
ENEMDU,jun-10,2010,6,Desempleo Nuevo,154993,122905,32088
ENEMDU,jun-10,2010,6,Poblaciï¿½n Econï¿½micamente Inactiva,3564926,2486211,1078715
ENEMDU,dic-10,2010,12,Poblaciï¿½n Total,14279685,9475345,4804340
ENEMDU,jun-10,2010,6,Subempleo,1041266,663688,377578
ENEMDU,jun-10,2010,6,Subempleo por insuficiencia de tiempo de trabajo,762700,499598,263103
ENEMDU,jun-10,2010,6,Subempleo por insuficiencia de ingresos,278566,164090,114475
ENEMDU,jun-10,2010,6,Empleo no remunerado,518542,170555,347988
ENEMDU,jun-10,2010,6,Otro Empleo no pleno,1811893,958283,853610
ENEMDU,jun-10,2010,6,Empleo no clasificado,86898,71743,15155
ENEMDU,dic-13,2013,12,Desempleo Nuevo,120096,86711,33386
ENEMDU,dic-13,2013,12,Poblaciï¿½n Econï¿½micamente Inactiva,4247385,3007576,1239809
ENEMDU,mar-14,2014,3,Poblaciï¿½n Total,15935761,10776249,5159512
ENEMDU,mar-14,2014,3,Poblaciï¿½n menor de 15 aï¿½os,4697080,3018245,1678835
ENEMDU,mar-14,2014,3,Poblaciï¿½n en Edad de Trabajar (PET),11238681,7758004,3480677
ENEMDU,mar-14,2014,3,Poblaciï¿½n Econï¿½micamente Activa,7048410,4767297,2281113
ENEMDU,mar-14,2014,3,Empleo,6706314,4501505,2204809
ENEMDU,mar-14,2014,3,Empleo Adecuado/Pleno,3206080,2616012,590068
ENEMDU,mar-14,2014,3,Subempleo,890360,517872,372489
ENEMDU,mar-14,2014,3,Subempleo por insuficiencia de tiempo de trabajo,706156,415940,290216
ENEMDU,mar-14,2014,3,Subempleo por insuficiencia de ingresos,184205,101932,82273
ENEMDU,mar-14,2014,3,Empleo no remunerado,497262,186701,310561
ENEMDU,mar-14,2014,3,Otro Empleo no pleno,2094854,1163642,931212
ENEMDU,jun-18,2018,6,Empleo,7648773,5015089,2633683
ENEMDU,jun-18,2018,6,Empleo Adecuado/Pleno,3105674,2520593,585081
ENEMDU,jun-18,2018,6,Subempleo,1544373,976038,568335
ENEMDU,jun-18,2018,6,Subempleo por insuficiencia de tiempo de trabajo,1223986,777596,446390
ENEMDU,jun-18,2018,6,Subempleo por insuficiencia de ingresos,320388,198442,121945
ENEMDU,jun-18,2018,6,Empleo no remunerado,838730,272068,566662
ENEMDU,dic-13,2013,12,Poblaciï¿½n Econï¿½micamente Activa,6952986,4710148,2242838
ENEMDU,dic-13,2013,12,Empleo,6664241,4481130,2183111
