anio_lectivo,amie,nombre_institucion,provincia,cod_provincia,canton,cod_canton,nivel_educacion,sostenimiento,total_estudiantes,bach_3_masculino,bach_3_femenino,provincia_normalizada,canton_normalizado,bachilleres_3ro
2023-2024 INICIO,18H00867,UNIDAD EDUCATIVA UNIKIDS,TUNGURAHUA,18,AMBATO,1801,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",PARTICULAR,444,8,7,TUNGURAHUA,AMBATO,15
2023-2024 INICIO,05H00491,UNIDAD EDUCATIVA UNION Y PROGRESO,COTOPAXI,5,PUJILI,504,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,155,4,8,COTOPAXI,PUJILI,12
2023-2024 INICIO,13H04786,UNIDAD EDUCATIVA UNION Y PROGRESO,MANABI,13,CHONE,1303,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,175,8,5,MANABI,CHONE,13
2023-2024 INICIO,12H01030,UNIDAD EDUCATIVA URDANETA,LOS RIOS,12,URDANETA,1206,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,451,17,17,LOS RIOS,URDANETA,34
2023-2024 INICIO,11H00616,UNIDAD EDUCATIVA UTUANA,LOJA,11,CALVAS,1102,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,136,7,6,LOJA,CALVAS,13
2023-2024 INICIO,24H00154,UNIDAD EDUCATIVA VALDIVIA,SANTA ELENA,24,SANTA ELENA,2401,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCAL,1033,111,91,SANTA ELENA,SANTA ELENA,202
2023-2024 INICIO,19H00473,UNIDAD EDUCATIVA VALLADOLID,ZAMORA CHINCHIPE,19,PALANDA,1908,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,261,16,12,ZAMORA CHINCHIPE,PALANDA,28
2023-2024 INICIO,10H00159,UNIDAD EDUCATIVA VALLE DEL CHOTA,IMBABURA,10,IBARRA,1001,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,594,41,27,IMBABURA,IBARRA,68
2023-2024 INICIO,23H00610,UNIDAD EDUCATIVA VALLE HERMOSO,SANTO DOMINGO DE LOS TSACHILAS,23,SANTO DOMINGO,2301,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,1125,55,53,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,108
2023-2024 INICIO,08H00130,UNIDAD EDUCATIVA VALM MANUEL NIETO CADENA,ESMERALDAS,8,ESMERALDAS,801,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCAL,883,70,86,ESMERALDAS,ESMERALDAS,156
2023-2024 INICIO,23H00325,UNIDAD EDUCATIVA VASCO NUÑEZ DE BALBOA,SANTO DOMINGO DE LOS TSACHILAS,23,SANTO DOMINGO,2301,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,321,5,5,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,10
2023-2024 INICIO,13H05421,UNIDAD EDUCATIVA VEINTE DE MARZO,MANABI,13,JAMA,1320,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,253,9,4,MANABI,JAMA,13
2023-2024 INICIO,09H04023,UNIDAD EDUCATIVA VEINTICINCO DE AGOSTO,GUAYAS,9,EL TRIUNFO,909,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA, BACHILLERATO Y OFERTAS INTENSIVAS",FISCAL,1196,33,21,GUAYAS,EL TRIUNFO,54
2023-2024 INICIO,23H00288,UNIDAD EDUCATIVA VEINTICUATRO DE MAYO,SANTO DOMINGO DE LOS TSACHILAS,23,SANTO DOMINGO,2301,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,1851,55,70,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,125
